UserID,Age,Income,Current Savings,Risk Tolerance,Fixed Deposit (%),Mutual Funds (%),Bonds (%),Stocks (%)
1,Senior,High,High,High,20,40,10,30
2,Young,Low,Low,High,10,20,10,60
3,Middle,Low,Low,Low,50,20,20,10
4,Middle,Medium,High,Medium,40,30,10,20
5,Middle,Low,Medium,Low,50,20,20,10
6,Young,High,Medium,Medium,20,30,10,40
7,Young,High,Medium,Low,40,30,20,10
8,Young,Low,Medium,Low,40,30,20,10
9,Senior,High,Medium,Low,60,20,10,10
10,Middle,Medium,Low,Medium,40,30,10,20
11,Middle,Medium,High,Medium,40,30,10,20
12,Senior,Low,Low,Medium,40,30,20,10
13,Young,Medium,High,Medium,20,30,10,40
14,Young,High,Medium,High,10,20,10,60
15,Middle,Medium,High,Medium,40,30,10,20
16,Senior,High,Medium,Low,60,20,10,10
17,Senior,Medium,High,Medium,40,30,20,10
18,Young,Low,High,High,10,20,10,60
19,Middle,Medium,Medium,High,20,30,10,40
20,Senior,Low,Low,High,20,40,10,30
21,Middle,High,Low,High,20,30,10,40
22,Middle,Low,High,Low,50,20,20,10
23,Young,Low,Low,High,10,20,10,60
24,Senior,High,Medium,Medium,40,30,20,10
25,Middle,Low,Low,Low,50,20,20,10
26,Young,Low,Low,High,10,20,10,60
27,Middle,Medium,Medium,High,20,30,10,40
28,Middle,Medium,Medium,Medium,40,30,10,20
29,Young,High,High,High,10,20,10,60
30,Middle,Low,Low,Low,50,20,20,10
31,Young,High,Medium,Medium,20,30,10,40
32,Young,Medium,Low,High,10,20,10,60
33,Young,Low,Medium,Low,40,30,20,10
34,Senior,Medium,High,High,20,40,10,30
35,Senior,Low,Medium,High,20,40,10,30
36,Young,High,Low,High,10,20,10,60
37,Young,High,Medium,Medium,20,30,10,40
38,Senior,High,Low,Low,60,20,10,10
39,Middle,High,Low,High,20,30,10,40
40,Young,Medium,Medium,Medium,20,30,10,40
41,Middle,Low,Low,High,20,30,10,40
42,Middle,Low,Medium,Low,50,20,20,10
43,Middle,High,High,High,20,30,10,40
44,Senior,Low,Low,High,20,40,10,30
45,Middle,Low,Medium,Medium,40,30,10,20
46,Young,Low,Medium,Medium,20,30,10,40
47,Middle,Medium,Low,High,20,30,10,40
48,Middle,Low,Medium,High,20,30,10,40
49,Young,Medium,High,Low,40,30,20,10
50,Middle,High,High,Medium,40,30,10,20
51,Senior,Low,Low,Low,60,20,10,10
52,Middle,Low,Low,Medium,40,30,10,20
53,Middle,High,Low,Medium,40,30,10,20
54,Senior,Medium,Medium,Low,60,20,10,10
55,Young,High,High,Medium,20,30,10,40
56,Middle,Low,Medium,High,20,30,10,40
57,Senior,Medium,High,Low,60,20,10,10
58,Senior,Medium,Medium,Medium,40,30,20,10
59,Senior,Low,Low,Medium,40,30,20,10
60,Young,High,Low,Low,40,30,20,10
61,Young,High,High,Medium,20,30,10,40
62,Senior,Low,High,Low,60,20,10,10
63,Young,Medium,High,Medium,20,30,10,40
64,Senior,Medium,Medium,High,20,40,10,30
65,Senior,Low,Low,Medium,40,30,20,10
66,Middle,Medium,Low,High,20,30,10,40
67,Middle,Medium,Low,Low,50,20,20,10
68,Middle,Low,High,Medium,40,30,10,20
69,Middle,Low,Low,Medium,40,30,10,20
70,Middle,Low,High,Low,50,20,20,10
71,Young,Low,High,Medium,20,30,10,40
72,Middle,Low,Medium,Low,50,20,20,10
73,Senior,Medium,Medium,High,20,40,10,30
74,Middle,Medium,Low,Medium,40,30,10,20
75,Young,Low,Medium,Low,40,30,20,10
76,Young,High,High,Low,40,30,20,10
77,Young,Low,Low,High,10,20,10,60
78,Senior,Low,High,Low,60,20,10,10
79,Middle,Low,High,Medium,40,30,10,20
80,Middle,Low,High,Medium,40,30,10,20
81,Senior,High,Medium,High,20,40,10,30
82,Middle,Low,Low,High,20,30,10,40
83,Middle,Medium,Medium,High,20,30,10,40
84,Young,Medium,Low,Low,40,30,20,10
85,Middle,Low,Low,Medium,40,30,10,20
86,Middle,Medium,Low,High,20,30,10,40
87,Young,High,Low,Low,40,30,20,10
88,Young,Medium,High,High,10,20,10,60
89,Senior,Medium,High,Medium,40,30,20,10
90,Young,High,Low,Low,40,30,20,10
91,Middle,Medium,Low,Medium,40,30,10,20
92,Young,Low,Medium,Medium,20,30,10,40
93,Senior,Medium,High,Medium,40,30,20,10
94,Young,Medium,Low,High,10,20,10,60
95,Senior,Low,High,High,20,40,10,30
96,Young,Medium,High,Medium,20,30,10,40
97,Middle,Low,Medium,High,20,30,10,40
98,Middle,Medium,Low,High,20,30,10,40
99,Young,Medium,High,Low,40,30,20,10
100,Senior,Medium,High,Medium,40,30,20,10
101,Middle,Low,High,High,20,30,10,40
102,Middle,Low,High,High,20,30,10,40
103,Middle,Low,High,High,20,30,10,40
104,Young,Medium,Medium,High,10,20,10,60
105,Young,Low,Low,Low,40,30,20,10
106,Middle,Medium,Medium,Medium,40,30,10,20
107,Middle,Low,Medium,Low,50,20,20,10
108,Middle,Medium,Medium,Low,50,20,20,10
109,Middle,Low,High,Medium,40,30,10,20
110,Young,High,High,Medium,20,30,10,40
111,Young,High,Low,High,10,20,10,60
112,Young,Low,Medium,Low,40,30,20,10
113,Young,Low,High,Medium,20,30,10,40
114,Senior,Medium,Low,Medium,40,30,20,10
115,Young,Low,Low,Medium,20,30,10,40
116,Young,Medium,Medium,High,10,20,10,60
117,Young,Low,Low,Low,40,30,20,10
118,Senior,Medium,Medium,High,20,40,10,30
119,Middle,Low,Low,High,20,30,10,40
120,Middle,Low,Low,Low,50,20,20,10
121,Young,Low,Medium,Medium,20,30,10,40
122,Senior,Medium,High,Low,60,20,10,10
123,Senior,High,High,Low,60,20,10,10
124,Young,Low,Low,Medium,20,30,10,40
125,Senior,Medium,Low,High,20,40,10,30
126,Young,Low,Low,High,10,20,10,60
127,Young,Medium,Low,High,10,20,10,60
128,Middle,High,Medium,Medium,40,30,10,20
129,Young,High,Medium,Medium,20,30,10,40
130,Young,Medium,Medium,Low,40,30,20,10
131,Young,Medium,Low,Medium,20,30,10,40
132,Young,Medium,Medium,High,10,20,10,60
133,Young,High,High,Low,40,30,20,10
134,Middle,Medium,Low,Medium,40,30,10,20
135,Senior,Medium,Low,High,20,40,10,30
136,Young,High,High,Low,40,30,20,10
137,Middle,High,Medium,High,20,30,10,40
138,Middle,Low,Medium,High,20,30,10,40
139,Senior,High,Low,Low,60,20,10,10
140,Middle,Low,Medium,Medium,40,30,10,20
141,Young,High,Low,Low,40,30,20,10
142,Young,Medium,High,Low,40,30,20,10
143,Young,Low,High,Medium,20,30,10,40
144,Senior,Medium,Medium,High,20,40,10,30
145,Middle,High,Low,Medium,40,30,10,20
146,Senior,Low,Low,High,20,40,10,30
147,Senior,High,High,Low,60,20,10,10
148,Middle,Low,Low,Low,50,20,20,10
149,Senior,Medium,Medium,Low,60,20,10,10
150,Middle,Low,High,High,20,30,10,40
151,Young,High,High,High,10,20,10,60
152,Senior,Medium,Medium,Medium,40,30,20,10
153,Middle,High,High,Medium,40,30,10,20
154,Young,Low,Low,High,10,20,10,60
155,Senior,High,Medium,High,20,40,10,30
156,Young,High,Medium,Medium,20,30,10,40
157,Middle,Medium,Medium,High,20,30,10,40
158,Senior,Low,Low,High,20,40,10,30
159,Young,Medium,Medium,Low,40,30,20,10
160,Middle,Low,High,Low,50,20,20,10
161,Young,Low,Medium,Low,40,30,20,10
162,Middle,Medium,Medium,Medium,40,30,10,20
163,Young,Low,High,High,10,20,10,60
164,Middle,Medium,Medium,Low,50,20,20,10
165,Senior,Low,Low,Medium,40,30,20,10
166,Middle,Medium,Low,High,20,30,10,40
167,Middle,High,Low,High,20,30,10,40
168,Middle,Medium,Medium,Low,50,20,20,10
169,Middle,Low,High,Low,50,20,20,10
170,Middle,Medium,High,High,20,30,10,40
171,Middle,Low,High,Medium,40,30,10,20
172,Young,Low,High,Medium,20,30,10,40
173,Senior,Medium,Medium,High,20,40,10,30
174,Young,Medium,Medium,Medium,20,30,10,40
175,Middle,Medium,Low,Low,50,20,20,10
176,Senior,Medium,High,Medium,40,30,20,10
177,Middle,High,Medium,High,20,30,10,40
178,Middle,Low,High,High,20,30,10,40
179,Senior,High,Low,High,20,40,10,30
180,Senior,High,Medium,High,20,40,10,30
181,Young,Medium,Medium,High,10,20,10,60
182,Young,High,High,High,10,20,10,60
183,Middle,Medium,High,Medium,40,30,10,20
184,Senior,Low,High,Medium,40,30,20,10
185,Middle,Medium,High,Low,50,20,20,10
186,Middle,High,Low,Low,50,20,20,10
187,Senior,Medium,High,Medium,40,30,20,10
188,Young,Medium,High,Low,40,30,20,10
189,Young,Medium,High,Medium,20,30,10,40
190,Senior,High,Low,Medium,40,30,20,10
191,Senior,Medium,Medium,High,20,40,10,30
192,Young,Low,High,Medium,20,30,10,40
193,Young,Low,Medium,High,10,20,10,60
194,Middle,Medium,Low,High,20,30,10,40
195,Senior,Medium,Low,Medium,40,30,20,10
196,Senior,High,Medium,Low,60,20,10,10
197,Senior,High,High,High,20,40,10,30
198,Middle,Medium,Low,Low,50,20,20,10
199,Middle,Medium,Low,Medium,40,30,10,20
200,Young,High,Low,Low,40,30,20,10
201,Senior,Medium,High,Low,60,20,10,10
202,Young,High,Medium,Medium,20,30,10,40
203,Middle,Low,High,Low,50,20,20,10
204,Middle,Medium,Low,Medium,40,30,10,20
205,Senior,Medium,Medium,Low,60,20,10,10
206,Middle,High,High,Medium,40,30,10,20
207,Young,High,High,Low,40,30,20,10
208,Senior,Low,Medium,High,20,40,10,30
209,Middle,High,Medium,High,20,30,10,40
210,Senior,Medium,Low,High,20,40,10,30
211,Senior,Low,Medium,High,20,40,10,30
212,Senior,High,High,Medium,40,30,20,10
213,Young,Low,Medium,High,10,20,10,60
214,Young,High,Low,High,10,20,10,60
215,Middle,High,Medium,High,20,30,10,40
216,Young,High,High,Medium,20,30,10,40
217,Middle,Low,High,High,20,30,10,40
218,Senior,Medium,Low,Medium,40,30,20,10
219,Young,High,High,High,10,20,10,60
220,Young,Medium,High,Low,40,30,20,10
221,Young,Medium,High,High,10,20,10,60
222,Middle,Medium,High,High,20,30,10,40
223,Young,Low,High,Low,40,30,20,10
224,Middle,Low,Medium,Low,50,20,20,10
225,Senior,High,Medium,High,20,40,10,30
226,Young,Low,Low,High,10,20,10,60
227,Middle,Medium,High,High,20,30,10,40
228,Young,Low,Medium,Medium,20,30,10,40
229,Middle,Medium,Medium,Low,50,20,20,10
230,Young,High,Low,High,10,20,10,60
231,Young,High,Low,Low,40,30,20,10
232,Young,High,High,High,10,20,10,60
233,Middle,High,Low,Medium,40,30,10,20
234,Senior,Low,Low,Low,60,20,10,10
235,Senior,High,High,Low,60,20,10,10
236,Senior,Medium,Low,High,20,40,10,30
237,Senior,Low,High,Low,60,20,10,10
238,Young,High,Low,Low,40,30,20,10
239,Senior,Medium,Medium,Low,60,20,10,10
240,Senior,Medium,High,Medium,40,30,20,10
241,Senior,High,Low,Low,60,20,10,10
242,Young,High,High,Low,40,30,20,10
243,Middle,Medium,Medium,Medium,40,30,10,20
244,Middle,High,Low,Medium,40,30,10,20
245,Senior,Medium,Low,High,20,40,10,30
246,Young,Low,Medium,Low,40,30,20,10
247,Young,High,High,Low,40,30,20,10
248,Young,Medium,High,Medium,20,30,10,40
249,Middle,High,Low,Medium,40,30,10,20
250,Middle,Medium,High,Medium,40,30,10,20
251,Middle,Low,Low,Medium,40,30,10,20
252,Senior,High,Low,High,20,40,10,30
253,Senior,Medium,Medium,Medium,40,30,20,10
254,Young,High,Low,High,10,20,10,60
255,Senior,Medium,Medium,High,20,40,10,30
256,Senior,Low,Medium,Medium,40,30,20,10
257,Young,Medium,Medium,Low,40,30,20,10
258,Middle,Low,High,High,20,30,10,40
259,Young,High,High,Low,40,30,20,10
260,Young,High,Low,Medium,20,30,10,40
261,Middle,Medium,Medium,High,20,30,10,40
262,Young,High,High,Medium,20,30,10,40
263,Middle,Low,Medium,High,20,30,10,40
264,Middle,High,High,High,20,30,10,40
265,Young,Medium,High,High,10,20,10,60
266,Middle,Low,High,Medium,40,30,10,20
267,Senior,Low,Medium,High,20,40,10,30
268,Middle,Medium,Medium,Low,50,20,20,10
269,Middle,High,Medium,Low,50,20,20,10
270,Senior,High,Low,Low,60,20,10,10
271,Young,Low,Low,High,10,20,10,60
272,Young,Medium,High,Low,40,30,20,10
273,Young,Medium,Medium,Medium,20,30,10,40
274,Senior,High,Medium,Medium,40,30,20,10
275,Middle,Low,High,High,20,30,10,40
276,Senior,Medium,High,High,20,40,10,30
277,Young,High,Medium,High,10,20,10,60
278,Senior,Low,Low,Medium,40,30,20,10
279,Young,Low,Medium,Low,40,30,20,10
280,Young,Medium,Low,High,10,20,10,60
281,Senior,Low,High,Low,60,20,10,10
282,Young,High,Medium,Low,40,30,20,10
283,Senior,Medium,Medium,High,20,40,10,30
284,Young,Medium,Medium,High,10,20,10,60
285,Young,High,Medium,Low,40,30,20,10
286,Senior,Low,High,High,20,40,10,30
287,Middle,Medium,High,High,20,30,10,40
288,Young,Low,High,Low,40,30,20,10
289,Senior,High,High,High,20,40,10,30
290,Senior,Medium,High,Low,60,20,10,10
291,Middle,Low,Low,Medium,40,30,10,20
292,Middle,Medium,Medium,High,20,30,10,40
293,Young,Low,Medium,Low,40,30,20,10
294,Young,Medium,Medium,High,10,20,10,60
295,Senior,Low,Medium,Medium,40,30,20,10
296,Middle,High,Medium,Low,50,20,20,10
297,Young,Low,High,Medium,20,30,10,40
298,Middle,Low,Medium,High,20,30,10,40
299,Senior,High,High,High,20,40,10,30
300,Senior,High,Low,Low,60,20,10,10
301,Young,Medium,Medium,Low,40,30,20,10
302,Senior,High,Low,High,20,40,10,30
303,Middle,Low,Medium,Medium,40,30,10,20
304,Middle,High,High,Medium,40,30,10,20
305,Senior,Low,Medium,Low,60,20,10,10
306,Senior,High,Medium,High,20,40,10,30
307,Middle,Low,Low,Medium,40,30,10,20
308,Young,High,Medium,Medium,20,30,10,40
309,Senior,High,Medium,High,20,40,10,30
310,Middle,Medium,Medium,Low,50,20,20,10
311,Young,Medium,High,Low,40,30,20,10
312,Senior,Low,Low,Medium,40,30,20,10
313,Senior,Medium,High,Low,60,20,10,10
314,Young,Low,High,Medium,20,30,10,40
315,Senior,Medium,Low,Medium,40,30,20,10
316,Middle,High,Medium,Low,50,20,20,10
317,Young,High,Low,Medium,20,30,10,40
318,Middle,Low,High,Low,50,20,20,10
319,Middle,Low,High,Medium,40,30,10,20
320,Senior,Medium,High,Medium,40,30,20,10
321,Senior,High,Medium,Medium,40,30,20,10
322,Young,Medium,Low,Medium,20,30,10,40
323,Senior,Medium,Medium,Low,60,20,10,10
324,Middle,High,High,High,20,30,10,40
325,Middle,High,Medium,High,20,30,10,40
326,Senior,Medium,Medium,Low,60,20,10,10
327,Middle,Medium,Low,Low,50,20,20,10
328,Senior,Low,Medium,Low,60,20,10,10
329,Young,Low,High,High,10,20,10,60
330,Young,Low,High,Medium,20,30,10,40
331,Middle,Low,Medium,Medium,40,30,10,20
332,Young,Medium,High,Low,40,30,20,10
333,Young,High,Low,High,10,20,10,60
334,Senior,Medium,Low,Medium,40,30,20,10
335,Middle,High,High,Medium,40,30,10,20
336,Senior,Medium,High,Medium,40,30,20,10
337,Middle,Low,Low,High,20,30,10,40
338,Middle,High,High,High,20,30,10,40
339,Middle,Low,High,Low,50,20,20,10
340,Middle,Medium,High,Medium,40,30,10,20
341,Senior,Medium,Medium,Low,60,20,10,10
342,Senior,Medium,Low,Low,60,20,10,10
343,Senior,High,Low,Medium,40,30,20,10
344,Middle,Low,High,Medium,40,30,10,20
345,Young,Low,Medium,Medium,20,30,10,40
346,Young,Medium,Low,Low,40,30,20,10
347,Senior,Low,High,Low,60,20,10,10
348,Senior,High,Medium,High,20,40,10,30
349,Middle,Low,Low,Medium,40,30,10,20
350,Middle,Low,Medium,High,20,30,10,40
351,Middle,High,Low,High,20,30,10,40
352,Young,High,High,Medium,20,30,10,40
353,Young,Medium,Medium,Medium,20,30,10,40
354,Young,Low,Low,High,10,20,10,60
355,Young,Medium,High,Medium,20,30,10,40
356,Middle,Low,Medium,Low,50,20,20,10
357,Young,Low,High,Medium,20,30,10,40
358,Middle,Medium,High,High,20,30,10,40
359,Senior,High,High,Low,60,20,10,10
360,Young,High,Low,High,10,20,10,60
361,Middle,Medium,Medium,High,20,30,10,40
362,Senior,Medium,Medium,Low,60,20,10,10
363,Senior,Low,Low,Medium,40,30,20,10
364,Middle,Medium,Low,Medium,40,30,10,20
365,Senior,Low,High,High,20,40,10,30
366,Middle,Medium,Low,Low,50,20,20,10
367,Middle,Medium,Low,Medium,40,30,10,20
368,Young,Low,Low,High,10,20,10,60
369,Young,Low,Low,High,10,20,10,60
370,Young,Low,High,Low,40,30,20,10
371,Senior,High,High,Medium,40,30,20,10
372,Senior,Medium,Low,High,20,40,10,30
373,Middle,Low,Low,High,20,30,10,40
374,Middle,Medium,High,Low,50,20,20,10
375,Senior,Medium,Medium,Low,60,20,10,10
376,Young,Low,High,High,10,20,10,60
377,Middle,High,Low,High,20,30,10,40
378,Young,Low,High,High,10,20,10,60
379,Middle,High,Medium,Low,50,20,20,10
380,Senior,High,High,Low,60,20,10,10
381,Senior,High,High,Low,60,20,10,10
382,Middle,Low,Medium,Medium,40,30,10,20
383,Young,Medium,High,Low,40,30,20,10
384,Middle,Medium,Low,High,20,30,10,40
385,Middle,High,Low,High,20,30,10,40
386,Senior,Medium,Medium,Low,60,20,10,10
387,Senior,Low,High,High,20,40,10,30
388,Young,Low,High,High,10,20,10,60
389,Senior,Low,Low,High,20,40,10,30
390,Middle,High,Low,Low,50,20,20,10
391,Middle,High,Medium,High,20,30,10,40
392,Senior,Low,Medium,High,20,40,10,30
393,Middle,High,High,High,20,30,10,40
394,Senior,Medium,High,Low,60,20,10,10
395,Senior,Low,Medium,Low,60,20,10,10
396,Middle,Low,Low,Medium,40,30,10,20
397,Young,High,Medium,Low,40,30,20,10
398,Senior,Medium,Medium,High,20,40,10,30
399,Middle,Low,Medium,Medium,40,30,10,20
400,Middle,Medium,High,High,20,30,10,40
401,Senior,Low,Low,High,20,40,10,30
402,Young,High,Low,Low,40,30,20,10
403,Senior,High,Low,Low,60,20,10,10
404,Senior,High,High,Low,60,20,10,10
405,Senior,Medium,Low,Low,60,20,10,10
406,Middle,Low,High,High,20,30,10,40
407,Middle,Low,Low,Medium,40,30,10,20
408,Young,Medium,Low,High,10,20,10,60
409,Young,Medium,High,High,10,20,10,60
410,Middle,High,Medium,High,20,30,10,40
411,Young,Medium,Low,Medium,20,30,10,40
412,Senior,Low,Medium,Medium,40,30,20,10
413,Senior,High,Medium,Medium,40,30,20,10
414,Young,Medium,High,High,10,20,10,60
415,Middle,High,Low,Medium,40,30,10,20
416,Middle,Medium,High,Medium,40,30,10,20
417,Young,Medium,Low,High,10,20,10,60
418,Young,Medium,Medium,Medium,20,30,10,40
419,Young,Low,High,Medium,20,30,10,40
420,Middle,Low,Medium,High,20,30,10,40
421,Middle,High,Low,Medium,40,30,10,20
422,Middle,High,Low,Medium,40,30,10,20
423,Senior,Medium,Low,Low,60,20,10,10
424,Senior,Low,Low,Medium,40,30,20,10
425,Middle,Medium,Low,Low,50,20,20,10
426,Senior,Low,Medium,Medium,40,30,20,10
427,Senior,Medium,Medium,Medium,40,30,20,10
428,Middle,Medium,Medium,High,20,30,10,40
429,Senior,Medium,Low,Medium,40,30,20,10
430,Middle,High,High,Low,50,20,20,10
431,Young,High,Low,Low,40,30,20,10
432,Middle,Medium,High,Medium,40,30,10,20
433,Young,High,Medium,Medium,20,30,10,40
434,Young,Low,High,Low,40,30,20,10
435,Young,Low,Medium,Low,40,30,20,10
436,Middle,Medium,Low,Low,50,20,20,10
437,Young,Low,Low,Medium,20,30,10,40
438,Middle,High,Medium,Low,50,20,20,10
439,Senior,Medium,Low,Medium,40,30,20,10
440,Middle,Low,Medium,Medium,40,30,10,20
441,Middle,High,Medium,High,20,30,10,40
442,Young,High,High,Low,40,30,20,10
443,Middle,Low,High,Medium,40,30,10,20
444,Senior,Medium,Medium,Low,60,20,10,10
445,Young,Medium,High,High,10,20,10,60
446,Middle,High,Medium,High,20,30,10,40
447,Young,High,Low,Medium,20,30,10,40
448,Senior,High,Low,Low,60,20,10,10
449,Senior,Low,Medium,High,20,40,10,30
450,Young,Medium,Medium,Medium,20,30,10,40
451,Middle,Low,High,High,20,30,10,40
452,Young,High,Medium,Medium,20,30,10,40
453,Senior,High,Low,High,20,40,10,30
454,Middle,High,Low,Low,50,20,20,10
455,Young,High,Low,Low,40,30,20,10
456,Middle,Medium,Medium,Medium,40,30,10,20
457,Senior,High,Low,High,20,40,10,30
458,Senior,Medium,Medium,High,20,40,10,30
459,Senior,High,Medium,Medium,40,30,20,10
460,Middle,Low,Low,High,20,30,10,40
461,Senior,Low,High,Low,60,20,10,10
462,Middle,Medium,Medium,Medium,40,30,10,20
463,Middle,Low,High,Medium,40,30,10,20
464,Senior,High,High,Low,60,20,10,10
465,Young,Medium,Medium,Medium,20,30,10,40
466,Young,High,Low,Low,40,30,20,10
467,Senior,Medium,Low,High,20,40,10,30
468,Middle,Low,Low,Medium,40,30,10,20
469,Middle,High,Medium,Medium,40,30,10,20
470,Young,Low,High,Low,40,30,20,10
471,Middle,Low,Medium,Low,50,20,20,10
472,Senior,High,High,High,20,40,10,30
473,Young,High,Low,Low,40,30,20,10
474,Senior,Medium,High,Low,60,20,10,10
475,Middle,Medium,Medium,High,20,30,10,40
476,Young,High,High,Low,40,30,20,10
477,Young,High,Low,Low,40,30,20,10
478,Senior,Low,Medium,Medium,40,30,20,10
479,Young,Medium,High,Medium,20,30,10,40
480,Middle,High,Low,Medium,40,30,10,20
481,Young,Medium,Medium,Low,40,30,20,10
482,Young,Low,High,Low,40,30,20,10
483,Senior,Low,High,Medium,40,30,20,10
484,Senior,High,Medium,High,20,40,10,30
485,Young,Medium,Medium,Medium,20,30,10,40
486,Middle,Low,Low,Low,50,20,20,10
487,Senior,Medium,Medium,Low,60,20,10,10
488,Young,Medium,Low,High,10,20,10,60
489,Young,High,Low,High,10,20,10,60
490,Senior,High,High,Medium,40,30,20,10
491,Senior,High,Medium,Low,60,20,10,10
492,Senior,Low,Medium,High,20,40,10,30
493,Senior,Low,Medium,Low,60,20,10,10
494,Senior,Medium,Medium,High,20,40,10,30
495,Middle,High,Medium,Medium,40,30,10,20
496,Senior,Medium,Low,Medium,40,30,20,10
497,Young,Low,Low,Medium,20,30,10,40
498,Senior,Low,Low,Low,60,20,10,10
499,Young,Low,Low,High,10,20,10,60
500,Middle,Medium,Medium,Medium,40,30,10,20
501,Middle,Medium,High,Low,50,20,20,10
502,Middle,Medium,Medium,High,20,30,10,40
503,Senior,Low,High,High,20,40,10,30
504,Young,Low,High,Medium,20,30,10,40
505,Middle,Low,High,Low,50,20,20,10
506,Senior,High,High,Low,60,20,10,10
507,Senior,Medium,High,High,20,40,10,30
508,Senior,Low,Medium,Medium,40,30,20,10
509,Senior,Low,High,Low,60,20,10,10
510,Middle,High,High,Medium,40,30,10,20
511,Middle,High,Medium,Medium,40,30,10,20
512,Senior,Low,High,High,20,40,10,30
513,Senior,Medium,High,Medium,40,30,20,10
514,Young,Low,Medium,High,10,20,10,60
515,Senior,High,High,Medium,40,30,20,10
516,Middle,Medium,Low,Low,50,20,20,10
517,Young,High,High,Medium,20,30,10,40
518,Middle,High,Low,High,20,30,10,40
519,Young,High,Low,High,10,20,10,60
520,Senior,High,Low,Low,60,20,10,10
521,Middle,Medium,High,Low,50,20,20,10
522,Middle,Low,Medium,Low,50,20,20,10
523,Senior,Medium,High,Medium,40,30,20,10
524,Young,Low,High,Low,40,30,20,10
525,Senior,Low,High,Low,60,20,10,10
526,Young,Medium,Medium,High,10,20,10,60
527,Senior,Medium,Low,Medium,40,30,20,10
528,Middle,Medium,High,Medium,40,30,10,20
529,Young,Low,Medium,Low,40,30,20,10
530,Young,Medium,Low,Low,40,30,20,10
531,Middle,Low,Low,Medium,40,30,10,20
532,Middle,High,High,High,20,30,10,40
533,Young,High,Low,High,10,20,10,60
534,Young,Medium,Medium,Low,40,30,20,10
535,Senior,Medium,High,High,20,40,10,30
536,Middle,Low,High,Medium,40,30,10,20
537,Young,High,Low,Medium,20,30,10,40
538,Young,Medium,Low,Low,40,30,20,10
539,Young,Low,High,Medium,20,30,10,40
540,Senior,High,Medium,High,20,40,10,30
541,Senior,High,Low,Low,60,20,10,10
542,Middle,Medium,Medium,Low,50,20,20,10
543,Senior,Low,High,High,20,40,10,30
544,Young,Medium,High,Low,40,30,20,10
545,Middle,High,Medium,Low,50,20,20,10
546,Middle,High,High,Medium,40,30,10,20
547,Middle,Medium,High,High,20,30,10,40
548,Young,High,High,High,10,20,10,60
549,Senior,Low,High,Low,60,20,10,10
550,Senior,Low,Low,High,20,40,10,30
551,Senior,Medium,High,Medium,40,30,20,10
552,Middle,Medium,High,Medium,40,30,10,20
553,Middle,Low,High,High,20,30,10,40
554,Young,High,High,Low,40,30,20,10
555,Middle,Low,High,High,20,30,10,40
556,Senior,Low,Medium,Low,60,20,10,10
557,Senior,High,High,Low,60,20,10,10
558,Young,High,Low,Medium,20,30,10,40
559,Senior,High,Low,Low,60,20,10,10
560,Senior,Medium,Medium,Low,60,20,10,10
561,Young,Medium,High,High,10,20,10,60
562,Senior,Low,Low,Medium,40,30,20,10
563,Young,Medium,Low,High,10,20,10,60
564,Middle,High,High,High,20,30,10,40
565,Middle,High,Low,Medium,40,30,10,20
566,Senior,Low,Medium,High,20,40,10,30
567,Young,Medium,Low,Medium,20,30,10,40
568,Young,Low,Low,High,10,20,10,60
569,Senior,Low,Medium,High,20,40,10,30
570,Senior,Medium,High,High,20,40,10,30
571,Young,Medium,Low,Medium,20,30,10,40
572,Middle,Low,Medium,High,20,30,10,40
573,Middle,Low,Medium,Low,50,20,20,10
574,Senior,High,Medium,Low,60,20,10,10
575,Middle,High,High,High,20,30,10,40
576,Middle,High,High,High,20,30,10,40
577,Young,High,Low,High,10,20,10,60
578,Middle,High,High,Low,50,20,20,10
579,Senior,High,Low,High,20,40,10,30
580,Middle,Low,Medium,Low,50,20,20,10
581,Middle,High,Medium,Low,50,20,20,10
582,Young,Low,High,Low,40,30,20,10
583,Senior,Medium,High,Low,60,20,10,10
584,Senior,High,Low,Medium,40,30,20,10
585,Senior,High,High,Low,60,20,10,10
586,Young,Low,High,Medium,20,30,10,40
587,Young,Medium,Medium,High,10,20,10,60
588,Senior,Medium,Medium,Low,60,20,10,10
589,Young,Medium,Low,Medium,20,30,10,40
590,Senior,High,Low,Low,60,20,10,10
591,Senior,High,High,Medium,40,30,20,10
592,Middle,Low,High,High,20,30,10,40
593,Middle,Low,Medium,High,20,30,10,40
594,Middle,Medium,High,Medium,40,30,10,20
595,Young,Low,High,High,10,20,10,60
596,Middle,Low,High,Medium,40,30,10,20
597,Middle,Low,High,Low,50,20,20,10
598,Middle,Low,Medium,Medium,40,30,10,20
599,Senior,High,High,Low,60,20,10,10
600,Senior,High,High,Low,60,20,10,10
