"Dish","Quantity","Calories (kcal)","Protein (g)","Carbohydrates (g)","Fats (g)","Fiber (g)","Key Nutrients","MealType"
"Poha","1 cup (150g)","250","5","38","8","4","Iron, Vitamin C, B Vitamins","Breakfast"
"Idli","2 pieces (150g)","150","5","28","1","2","Protein, Calcium, Iron","Breakfast"
"Vegetable Upma","1 cup (200g)","220","6","36","6","4","Vitamins A, C, Iron, Magnesium","Breakfast"
"Moong Dal Cheela","2 pieces (150g)","180","10","28","3","4","Protein, Iron, Potassium","Breakfast"
"Masala Oats","1 bowl (200g)","250","8","40","6","5","Fiber, Protein, Iron, Magnesium","Breakfast"
"Rava Upma","1 cup (200g)","240","7","40","7","3","Vitamins A, B, Iron, Magnesium","Breakfast"
"Paratha (Aloo)","1 piece (150g)","300","7","50","10","5","Carbs, Vitamins A, C, Iron","Breakfast"
"Dalia (Broken Wheat)","1 bowl (200g)","200","6","40","2","5","Fiber, Iron, B Vitamins","Breakfast"
"Sprouts Salad","1 cup (150g)","150","10","25","3","5","Protein, Fiber, Vitamins C, K","Breakfast"
"Methi Thepla","2 pieces (150g)","250","8","40","8","4","Iron, Calcium, Vitamins A, C","Breakfast"
"Vegetable Sandwich","1 sandwich","200","6","30","6","4","Vitamins A, C, Iron, Protein","Breakfast"
"Paneer Bhurji","1 cup (150g)","250","15","10","18","2","Protein, Calcium, Vitamin D","Breakfast"
"Besan Chilla","2 pieces (150g)","180","8","30","3","5","Protein, Iron, Fiber, Magnesium","Breakfast"
"Curd with Fruits","1 bowl (200g)","180","6","30","4","3","Probiotics, Vitamins A, C","Breakfast"
"Ragi Dosa","2 pieces (150g)","200","6","35","4","4","Calcium, Fiber, Iron","Breakfast"
"Oats Chilla","2 pieces (150g)","220","8","35","5","6","Fiber, Protein, Vitamins B","Breakfast"
"Spinach Paratha","2 pieces (150g)","240","7","38","8","4","Iron, Vitamins A, C, Fiber","Breakfast"
"Multigrain Toast","2 slices","200","6","40","4","5","Fiber, Vitamins B, E","Breakfast"
"Bajra Khichdi","1 cup (200g)","220","7","36","5","5","Iron, Fiber, Protein","Breakfast"
"Egg Bhurji","1 cup (150g)","220","12","5","18","2","Protein, Vitamins A, D","Breakfast"
"Millet Upma","1 cup (200g)","240","8","40","7","4","Fiber, Protein, Magnesium","Breakfast"
"Rajma Salad","1 cup (150g)","220","9","35","5","6","Protein, Iron, Fiber","Breakfast"
"Quinoa Upma","1 cup (200g)","240","8","40","6","5","Protein, Fiber, Magnesium","Breakfast"
"Barley Khichdi","1 cup (200g)","230","8","38","5","5","Fiber, Protein, Iron","Breakfast"
"Chana Salad","1 cup (150g)","200","8","30","4","6","Protein, Fiber, Iron","Breakfast"
"Oats Idli","2 pieces (150g)","160","5","28","2","4","Fiber, Protein, Vitamins B","Breakfast"
"Millet Pancakes","2 pieces (150g)","240","8","40","6","4","Fiber, Protein, Iron","Breakfast"
"Methi Paratha","2 pieces (150g)","250","7","40","8","4","Iron, Calcium, Vitamins A, C","Breakfast"
"Banana Oats Smoothie","1 glass (250ml)","200","6","40","4","5","Fiber, Protein, Potassium","Breakfast"
"Vegetable Poha","1 cup (150g)","260","6","38","8","5","Iron, Vitamins A, C","Breakfast"
"Sweet Potato Chaat","1 cup (150g)","180","4","35","3","4","Fiber, Vitamins A, C","Breakfast"
"Veggie Wrap","1 wrap","250","8","40","6","5","Fiber, Protein, Vitamins A, C","Breakfast"
"Paneer Paratha","2 pieces (150g)","280","10","40","10","4","Protein, Calcium, Vitamins A, C","Breakfast"
"Dal Paratha","2 pieces (150g)","260","9","40","8","4","Protein, Fiber, Iron","Breakfast"
"Palak Puri","2 pieces (150g)","220","6","30","10","3","Iron, Vitamins A, C","Breakfast"
"Rajgira Porridge","1 bowl (200g)","220","7","40","4","5","Fiber, Protein, Calcium","Breakfast"
"Methi Muthia","2 pieces (150g)","200","6","35","6","4","Fiber, Iron, Vitamins A, C","Breakfast"
"Vegetable Raita","1 cup (200g)","150","6","20","5","2","Probiotics, Vitamins A, C","Breakfast"
"Khakhra","2 pieces (50g)","200","6","30","6","4","Fiber, Protein, Iron","Breakfast"
"Oats Uttapam","2 pieces (150g)","240","8","40","6","5","Fiber, Protein, Vitamins B","Breakfast"
"Sprouts Dhokla","2 pieces (150g)","200","8","30","4","4","Fiber, Protein, Vitamins A, C","Breakfast"
"Vegetable Porridge","1 bowl (200g)","230","7","40","5","5","Fiber, Protein, Iron","Breakfast"
"Makhana Salad","1 cup (150g)","180","6","30","4","3","Fiber, Protein, Vitamins A, C","Breakfast"
"Semolina Pancakes","2 pieces (150g)","220","6","40","5","3","Fiber, Protein, Vitamins B","Breakfast"
"Beetroot Paratha","2 pieces (150g)","240","7","40","8","4","Iron, Fiber, Vitamins A, C","Breakfast"
"Mixed Dal Chilla","2 pieces (150g)","200","8","30","4","5","Protein, Iron, Fiber","Breakfast"
"Sprouts Pancakes","2 pieces (150g)","220","9","35","5","5","Protein, Fiber, Vitamins A, C","Breakfast"
"Sattu Paratha","2 pieces (150g)","260","10","40","8","4","Protein, Fiber, Iron","Breakfast"
"Avocado Toast","2 slices","220","6","35","10","6","Fiber, Healthy Fats, Vitamins C, E","Breakfast"
"Carrot Paratha","2 pieces (150g)","240","7","40","8","4","Fiber, Vitamins A, C, Iron","Breakfast"
"Banana Milkshake","1 glass (250ml)","200","8","38","5","2","Protein, Calcium, Potassium","Breakfast"
"Mango Lassi","1 glass (250ml)","250","8","45","6","1","Protein, Calcium, Vitamins A, C","Breakfast"
"Strawberry Smoothie","1 glass (250ml)","180","6","35","4","3","Protein, Calcium, Vitamins C, A","Breakfast"
"Almond Milkshake","1 glass (250ml)","220","8","32","8","2","Protein, Calcium, Vitamin E","Breakfast"
"Protein Shake (Whey)","1 glass (250ml)","150","20","8","3","1","Protein, Calcium, Vitamin D","Breakfast"
"Chia Seed Yogurt Bowl","1 bowl (200g)","180","8","20","7","5","Protein, Calcium, Omega-3, Fiber","Breakfast"
"Masala Chaas (Spiced Buttermilk)","1 glass (250ml)","100","4","12","3","0","Probiotics, Calcium, Vitamin B12","Breakfast"
"Greek Yogurt with Honey","1 bowl (200g)","180","10","20","6","1","Protein, Calcium, Probiotics","Breakfast"
"Oats and Yogurt Smoothie","1 glass (250ml)","220","10","35","6","4","Protein, Fiber, Calcium","Breakfast"
"Blueberry Yogurt Smoothie","1 glass (250ml)","200","8","35","5","3","Protein, Calcium, Vitamins A, C","Breakfast"
"Vanilla Milkshake","1 glass (250ml)","210","8","36","6","0","Protein, Calcium, Vitamin D","Breakfast"
"Green Smoothie with Yogurt","1 glass (250ml)","180","7","30","4","3","Protein, Calcium, Vitamins A, C","Breakfast"
"Rose Lassi","1 glass (250ml)","220","8","38","6","0","Protein, Calcium, Vitamins A, C","Breakfast"
"Cottage Cheese and Fruit Bowl","1 bowl (200g)","200","12","25","8","2","Protein, Calcium, Vitamins A, C","Breakfast"
"Saffron Milkshake","1 glass (250ml)","210","8","36","6","0","Protein, Calcium, Vitamin D","Breakfast"
"Curd Rice Smoothie","1 glass (250ml)","180","7","28","4","1","Protein, Calcium, Probiotics","Breakfast"
"Pista Milkshake","1 glass (250ml)","220","8","32","8","1","Protein, Calcium, Vitamin E","Breakfast"
"Cardamom Lassi","1 glass (250ml)","210","8","38","6","0","Protein, Calcium, Vitamins A, C","Breakfast"
"Honey Almond Yogurt","1 bowl (200g)","200","10","20","8","2","Protein, Calcium, Vitamin E","Breakfast"
"Walnut Yogurt Smoothie","1 glass (250ml)","230","10","20","12","2","Protein, Calcium, Omega-3","Breakfast"
"Chickpea Curry (Chole)","1 cup (200g)","250","10","35","8","8","Protein, Fiber, Iron, Folate","Lunch"
"Paneer Tikka","6 pieces (150g)","300","20","10","20","2","Protein, Calcium, Vitamins A, C","Lunch"
"Mixed Vegetable Curry","1 cup (200g)","180","5","20","8","6","Vitamins A, C, Fiber","Lunch"
"Dal Tadka","1 cup (200g)","230","10","35","8","8","Protein, Fiber, Iron","Lunch"
"Palak Paneer","1 cup (200g)","280","15","20","15","5","Protein, Calcium, Iron","Lunch"
"Vegetable Biryani","1 cup (200g)","250","7","45","7","6","Carbohydrates, Vitamins, Fiber","Lunch"
"Quinoa Khichdi","1 cup (200g)","220","9","35","5","7","Protein, Fiber, Vitamins B, C","Lunch"
"Lentil Soup (Dal)","1 bowl (200g)","180","9","30","2","7","Protein, Fiber, Iron","Lunch"
"Stuffed Bell Peppers","2 pieces (200g)","200","10","20","8","5","Vitamins A, C, Fiber","Lunch"
"Cabbage Stir-Fry","1 cup (200g)","150","5","15","7","6","Fiber, Vitamins C, K","Lunch"
"Whole Wheat Roti with Subzi","2 pieces (150g)","250","8","35","6","5","Protein, Fiber, Vitamins B","Lunch"
"Baingan Bharta","1 cup (200g)","180","4","20","10","6","Fiber, Vitamins A, C","Lunch"
"Chana Dal with Spinach","1 cup (200g)","250","12","30","8","7","Protein, Fiber, Iron","Lunch"
"Vegetable Pulao","1 cup (200g)","230","7","40","6","5","Carbohydrates, Fiber, Vitamins","Lunch"
"Moong Dal Chilla","2 pieces (150g)","220","12","30","5","5","Protein, Fiber, Vitamins B, C","Lunch"
"Karela (Bitter Gourd) Stir-Fry","1 cup (200g)","180","5","15","8","4","Fiber, Vitamins A, C","Lunch"
"Mung Bean Salad","1 cup (200g)","200","12","25","6","7","Protein, Fiber, Vitamins A, C","Lunch"
"Chicken Curry","1 cup (200g)","300","20","10","18","3","Protein, Iron, Vitamin B12","Lunch"
"Fish Curry","1 cup (200g)","250","22","8","14","2","Protein, Omega-3, Vitamins B, D","Lunch"
"Chicken Biryani","1 cup (200g)","350","20","45","12","3","Protein, Carbohydrates, Vitamins","Lunch"
"Egg Curry","1 cup (200g)","250","15","15","15","1","Protein, Iron, Vitamins A, B12","Lunch"
"Keema (Minced Meat)","1 cup (200g)","300","22","10","20","2","Protein, Iron, Vitamin B12","Lunch"
"Prawn Curry","1 cup (200g)","280","20","8","18","2","Protein, Omega-3, Vitamin B12","Lunch"
"Turkey Kofta Curry","1 cup (200g)","270","22","10","15","2","Protein, Iron, Vitamin B12","Lunch"
"Sprouted Moong Salad","1 cup (200g)","220","12","25","5","8","Protein, Fiber, Vitamins A, C","Lunch"
"Chicken Salad with Yogurt","1 bowl (200g)","250","25","10","10","2","Protein, Calcium, Vitamins B, D","Lunch"
"Grilled Fish Tandoori","1 fillet (200g)","220","25","5","10","1","Protein, Omega-3, Vitamins B, D","Lunch"
"Lentil and Spinach Soup","1 bowl (200g)","190","10","30","4","8","Protein, Fiber, Iron","Lunch"
"Chicken and Vegetable Stir-Fry","1 cup (200g)","280","25","15","12","5","Protein, Fiber, Vitamins A, C","Lunch"
"Kachori with Moong Dal","2 pieces (150g)","250","10","30","10","6","Protein, Carbohydrates, Fiber","Lunch"
"Hummus with Whole Wheat Pita","1 serving (150g)","280","10","35","12","5","Protein, Fiber, Vitamins B, C","Lunch"
"Cauliflower Rice","1 cup (200g)","150","5","10","7","4","Fiber, Vitamins C, K","Lunch"
"Masoor Dal and Vegetable Soup","1 bowl (200g)","200","12","30","3","7","Protein, Fiber, Iron","Lunch"
"Grilled Chicken with Quinoa","1 serving (200g)","300","25","35","8","5","Protein, Fiber, Vitamins B, E","Lunch"
"Beetroot and Carrot Salad","1 cup (200g)","180","4","20","7","6","Fiber, Vitamins A, C","Lunch"
"Tofu and Vegetable Stir-Fry","1 cup (200g)","220","18","12","10","4","Protein, Calcium, Fiber","Lunch"
"Greek Yogurt with Mixed Veggies","1 cup (200g)","200","15","15","5","5","Protein, Calcium, Fiber","Lunch"
"Mixed Bean Salad","1 cup (200g)","230","12","30","6","8","Protein, Fiber, Iron","Lunch"
"Spinach and Chickpea Stew","1 cup (200g)","250","10","35","8","7","Protein, Fiber, Iron","Lunch"
"Cottage Cheese Stuffed Peppers","2 pieces (200g)","240","15","20","10","4","Protein, Calcium, Fiber","Lunch"
"Sweet Potato and Chickpea Salad","1 cup (200g)","250","8","35","8","6","Fiber, Vitamins A, C","Lunch"
"Baked Chicken with Vegetables","1 serving (200g)","270","25","15","10","5","Protein, Vitamins A, C","Lunch"
"Rajma and Brown Rice","1 cup (200g)","280","14","50","6","7","Protein, Fiber, Iron","Lunch"
"Vegetable Soup with Brown Rice","1 bowl (200g)","200","7","35","4","6","Fiber, Vitamins A, C","Lunch"
"Chicken Kebabs with Salad","6 pieces (200g)","300","30","10","18","3","Protein, Iron, Vitamins B, D","Lunch"
"Quinoa and Black Bean Salad","1 cup (200g)","250","12","35","8","7","Protein, Fiber, Vitamins B, C","Lunch"
"Turkey and Vegetable Stir-Fry","1 cup (200g)","280","22","15","10","4","Protein, Fiber, Vitamins A, C","Lunch"
"Sprouted Moong Salad","1 cup (200g)","220","12","25","5","8","Protein, Fiber, Vitamins A, C","Lunch"
"Aloo Gobi with Rice","1 cup (200g)","220","6","35","7","5","Carbohydrates, Fiber, Vitamins A, C","Lunch"
"Dal Makhani with Rice","1 cup (200g)","300","15","45","10","8","Protein, Fiber, Iron","Lunch"
"Vegetable Korma with Rice","1 cup (200g)","280","8","45","15","6","Carbohydrates, Vitamins A, C, E","Lunch"
"Palak Rice with Raita","1 cup (200g)","250","9","45","6","5","Iron, Vitamins A, C","Lunch"
"Curd Rice with Vegetable Curry","1 cup (200g)","230","8","40","5","6","Protein, Carbohydrates, Probiotics","Lunch"
"Kadai Paneer with Rice","1 cup (200g)","320","18","45","15","4","Protein, Calcium, Vitamins A, C","Lunch"
"Mung Dal Khichdi","1 cup (200g)","220","9","35","5","7","Protein, Fiber, Vitamins B, C","Lunch"
"Vegetable Fried Rice","1 cup (200g)","270","8","45","10","4","Carbohydrates, Fiber, Vitamins B, C","Lunch"
"Bhindi Masala with Rice","1 cup (200g)","220","6","35","8","5","Fiber, Vitamins A, C","Lunch"
"Green Moong Dal with Rice","1 cup (200g)","220","12","35","4","8","Protein, Fiber, Iron","Lunch"
"Vegetable Khichdi","1 cup (200g)","250","10","35","5","7","Protein, Fiber, Vitamins B, C","Lunch"
"Vegetable Sambar with Rice","1 cup (200g)","240","9","45","6","7","Protein, Fiber, Vitamins B, C","Lunch"
"Palak Chole with Rice","1 cup (200g)","280","15","40","7","8","Protein, Iron, Fiber","Lunch"
"Methi Dal with Rice","1 cup (200g)","230","12","35","6","7","Protein, Fiber, Vitamins B, C","Lunch"
"Mixed Vegetable Sambar with Rice","1 cup (200g)","250","8","45","7","6","Protein, Fiber, Vitamins B, C","Lunch"
"Vegetable Kichadi with Raita","1 cup (200g)","240","8","40","6","6","Protein, Carbohydrates, Probiotics","Lunch"
"Beetroot Rice with Curd","1 cup (200g)","240","9","40","6","5","Vitamins A, C, Fiber","Lunch"
"Vegetable Curry with Millet Rice","1 cup (200g)","250","8","40","5","7","Fiber, Vitamins B, C","Lunch"
"Spinach Dal with Rice","1 cup (200g)","230","10","35","5","7","Protein, Fiber, Iron","Lunch"
"Chana Masala with Rice","1 cup (200g)","280","15","45","6","8","Protein, Fiber, Iron","Lunch"
