"Dish","Quantity","Calories (kcal)","Protein (g)","Carbohydrates (g)","Fats (g)","Fiber (g)","Key Nutrients","MealType"
"Ghiya (Bottle Gourd) Curry with Rice","1 cup (200g)","200","6","30","6","5","Vitamins A, C, Fiber","Lunch"
"Chicken and Vegetable Stew with Rice","1 cup (200g)","280","20","35","10","4","Protein, Vitamins A, C","Lunch"
"Oats Khichdi","1 cup (200g)","220","8","35","5","6","Fiber, Protein, Iron","Dinner"
"Quinoa Salad with Veggies","1 cup (200g)","250","10","35","8","7","Protein, Fiber, Vitamins B, C","Dinner"
"Masala Oats","1 cup (200g)","210","7","30","6","5","Fiber, Protein, Vitamins B","Dinner"
"Ragi Dosa with Coconut Chutney","2 pieces (150g)","200","6","30","8","4","Calcium, Fiber, Iron","Dinner"
"Bajra Roti with Baingan Bharta","2 pieces (150g)","230","8","40","7","6","Fiber, Protein, Vitamins A, C","Dinner"
"Lauki (Bottle Gourd) Thepla","2 pieces (150g)","180","6","30","5","4","Fiber, Vitamins A, C","Dinner"
"Broccoli and Paneer Stir-Fry","1 cup (200g)","220","12","10","14","5","Protein, Calcium, Fiber","Dinner"
"Pumpkin Soup","1 bowl (200g)","150","4","25","5","3","Fiber, Vitamins A, C","Dinner"
"Rajma Galouti Kebabs","4 pieces (150g)","250","10","30","10","5","Protein, Fiber, Iron","Dinner"
"Paneer Bhurji with Roti","1 cup (200g)","280","15","25","12","4","Protein, Calcium, Vitamins B, D","Dinner"
"Cauliflower Paratha","2 pieces (150g)","220","6","35","7","6","Fiber, Vitamins B, C","Dinner"
"Moong Dal and Oats Chilla","2 pieces (150g)","240","10","30","6","5","Protein, Fiber, Vitamins B, C","Dinner"
"Zucchini and Chickpea Curry","1 cup (200g)","250","10","30","10","7","Protein, Fiber, Vitamins A, C","Dinner"
"Drumstick (Moringa) Soup","1 bowl (200g)","160","5","25","4","3","Fiber, Vitamins A, C, Calcium","Dinner"
"Cucumber Raita","1 cup (200g)","120","6","15","5","2","Calcium, Probiotics, Vitamins A, C","Dinner"
"Millet Upma","1 cup (200g)","230","8","40","6","5","Fiber, Protein, Iron","Dinner"
"Green Peas Soup","1 bowl (200g)","180","6","25","5","4","Protein, Fiber, Vitamins A, C","Dinner"
"Grilled Tofu with Veggies","1 serving (200g)","240","18","15","10","5","Protein, Calcium, Iron","Dinner"
"Spinach and Sweet Potato Curry","1 cup (200g)","220","8","30","8","6","Fiber, Vitamins A, C, Iron","Dinner"
"Masala Roti with Avocado Salad","1 serving (200g)","250","8","30","10","7","Fiber, Healthy Fats, Vitamins B, C","Dinner"
"Carrot and Moong Dal Soup","1 bowl (200g)","190","8","30","4","5","Fiber, Protein, Vitamins A, C","Dinner"
"Soya Chunks Curry","1 cup (200g)","260","20","20","8","5","Protein, Iron, Vitamins B, C","Dinner"
"Vegetable Porridge","1 cup (200g)","210","6","35","5","4","Fiber, Vitamins A, C","Dinner"
"Grilled Eggplant (Baingan)","1 cup (200g)","180","5","20","8","6","Fiber, Vitamins A, C","Dinner"
"Tofu Bhurji with Spinach","1 cup (200g)","240","15","15","10","5","Protein, Calcium, Iron","Dinner"
"Quinoa Pulao","1 cup (200g)","230","8","40","7","6","Fiber, Protein, Vitamins B, C","Dinner"
"Masala Dalia (Broken Wheat)","1 cup (200g)","210","7","35","6","5","Fiber, Protein, Iron","Dinner"
"Sprouted Grain Salad","1 cup (200g)","220","10","30","5","8","Protein, Fiber, Vitamins A, C","Dinner"
"Besan (Chickpea Flour) Pancakes","2 pieces (150g)","230","10","30","8","5","Protein, Fiber, Iron","Dinner"
"Barley Soup","1 bowl (200g)","170","5","30","4","5","Fiber, Protein, Vitamins B, C","Dinner"
"Palak (Spinach) Soup","1 bowl (200g)","160","6","20","5","4","Fiber, Iron, Vitamins A, C","Dinner"
"Mixed Sprouts Stir-Fry","1 cup (200g)","210","12","25","6","7","Protein, Fiber, Iron","Dinner"
"Aloo and Methi Paratha","2 pieces (150g)","240","6","35","10","5","Fiber, Iron, Vitamins A, C","Dinner"
"Barley and Vegetable Risotto","1 cup (200g)","230","8","40","7","6","Fiber, Protein, Vitamins B, C","Dinner"
"Mushroom and Spinach Stir-Fry","1 cup (200g)","200","8","15","10","5","Protein, Fiber, Vitamins B, D","Dinner"
"Palak and Tofu Stir-Fry","1 cup (200g)","220","15","12","8","5","Protein, Calcium, Iron","Dinner"
"Broccoli and Almond Soup","1 bowl (200g)","190","7","20","10","4","Protein, Fiber, Vitamins A, C","Dinner"
"Spinach and Corn Salad","1 cup (200g)","180","5","25","6","5","Fiber, Vitamins A, C, Iron","Dinner"
"Methi Thepla with Yogurt","2 pieces (150g)","230","8","30","10","5","Protein, Calcium, Iron","Dinner"
"Pumpkin and Lentil Soup","1 bowl (200g)","180","7","25","5","4","Fiber, Protein, Vitamins A, C","Dinner"
"Stuffed Paratha with Raita","2 pieces (150g)","240","8","35","10","5","Fiber, Protein, Vitamins B, C","Dinner"
"Cucumber and Mint Raita","1 cup (200g)","110","5","10","5","2","Calcium, Probiotics, Vitamins A, C","Dinner"
"Baked Cauliflower with Spices","1 cup (200g)","180","5","15","10","6","Fiber, Vitamins C, K","Dinner"
"Beetroot and Quinoa Salad","1 cup (200g)","220","8","35","7","5","Fiber, Vitamins A, C, Iron","Dinner"
"Pumpkin and Quinoa Patties","2 pieces (150g)","230","8","30","10","5","Fiber, Protein, Vitamins A, C","Dinner"
"Cabbage and Moong Dal Stir-Fry","1 cup (200g)","200","10","20","7","6","Protein, Fiber, Vitamins A, C","Dinner"
"Grilled Lemon Chicken","1 fillet (200g)","220","30","5","8","1","Protein, Vitamin C, Iron","Dinner"
"Tandoori Salmon","1 fillet (200g)","250","28","5","12","0","Protein, Omega-3, Vitamin D","Dinner"
"Garlic Butter Shrimp","1 cup (200g)","230","25","6","12","0","Protein, Selenium, Vitamin B12","Dinner"
"Spicy Fish Stew","1 bowl (200g)","240","24","10","8","2","Protein, Omega-3, Vitamins B, D","Dinner"
"Chicken and Chickpea Stew","1 bowl (200g)","280","22","25","10","7","Protein, Fiber, Iron, Vitamin C","Dinner"
"Chicken and Lentil Soup","1 bowl (200g)","240","22","20","8","5","Protein, Fiber, Iron, Vitamins A, C","Dinner"
"Prawn and Spinach Stir-Fry","1 cup (200g)","230","24","8","12","4","Protein, Omega-3, Vitamins B, C","Dinner"
"Fish and Lentil Curry","1 cup (200g)","250","24","18","8","5","Protein, Omega-3, Fiber, Vitamins B, C","Dinner"
"Chicken and Spinach Curry","1 cup (200g)","260","28","12","10","5","Protein, Iron, Vitamins A, C","Dinner"
"Shrimp and Broccoli Stir-Fry","1 cup (200g)","220","24","10","10","4","Protein, Fiber, Vitamins C, D","Dinner"
"Chicken and Cauliflower Stir-Fry","1 cup (200g)","240","25","12","10","5","Protein, Fiber, Vitamins C, K","Dinner"
"Chia Seed Pudding with Berries","1 cup (200g)","200","6","30","8","10","Omega-3, Fiber, Antioxidants","Dinner"
"Greek Yogurt with Honey and Nuts","1 cup (200g)","250","10","20","12","4","Protein, Calcium, Healthy Fats","Dinner"
"Oats and Raisin Cookies","2 pieces (60g)","150","4","25","6","3","Fiber, Vitamins B, E","Dinner"
"Baked Apple with Cinnamon","1 medium (150g)","120","0.5","25","2","5","Fiber, Vitamin C","Dinner"
"Dark Chocolate and Almond Bark","2 pieces (40g)","180","3","15","12","3","Antioxidants, Healthy Fats","Dinner"
"Fruit Salad with Mint","1 bowl (200g)","100","2","25","1","5","Vitamins C, A, Fiber","Dinner"
"Coconut and Date Balls","3 pieces (50g)","140","2","20","7","3","Fiber, Iron, Potassium","Dinner"
"Baked Pears with Honey","1 pear (200g)","160","1","35","2","5","Fiber, Vitamins C, K","Dinner"
"Mango and Yogurt Parfait","1 cup (200g)","180","8","30","4","2","Protein, Vitamins A, C","Dinner"
"Avocado Chocolate Mousse","1 cup (150g)","250","4","20","18","6","Healthy Fats, Fiber, Antioxidants","Dinner"
"Berry and Nut Crumble","1 serving (150g)","200","4","30","8","5","Fiber, Antioxidants, Healthy Fats","Dinner"
"Carrot Halwa with Jaggery","1 cup (150g)","210","4","30","8","2","Vitamins A, E, Iron","Dinner"
"Banana Almond Ice Cream","1 scoop (100g)","150","2","30","5","3","Potassium, Vitamins B6, E","Dinner"
"Roasted Chickpeas","1 cup","180","6","30","2","6","Protein, Fiber","Snack"
"Spicy Almonds","1/4 cup","200","7","7","18","4","Protein, Healthy Fats","Snack"
"Edamame with Sea Salt","1 cup","120","11","10","5","8","Protein, Fiber","Snack"
"Mixed Nuts","1/4 cup","200","5","8","18","3","Protein, Healthy Fats","Snack"
"Baked Sweet Potato Chips","1 serving","150","2","25","5","4","Carbohydrates, Fiber","Snack"
"Apple Slices with Almond Butter","1 apple + 2 tbsp","180","4","20","14","4","Protein, Healthy Fats, Fiber","Snack"
"Greek Yogurt with Honey and Nuts","1 cup","250","12","20","8","2","Protein, Healthy Fats","Snack"
"Cottage Cheese with Pineapple","1 cup","200","10","15","5","1","Protein, Vitamins","Snack"
"Stuffed Dates with Almonds","4 dates","150","4","30","8","3","Fiber, Healthy Fats","Snack"
"Hummus with Carrot Sticks","1/2 cup + 1 cup","150","5","20","7","5","Protein, Fiber","Snack"
"Mini Caprese Skewers","5 skewers","150","8","5","10","2","Protein, Healthy Fats","Snack"
"Avocado Toast on Whole Grain Bread","1 slice","200","4","25","12","7","Healthy Fats, Fiber","Snack"
"Protein Balls (with Dates and Nuts)","3 balls","180","6","20","8","4","Protein, Healthy Fats","Snack"
"Rice Cakes with Peanut Butter","2 cakes","180","7","22","10","1","Protein, Healthy Fats","Snack"
"Baked Kale Chips","1 serving","100","3","10","7","4","Vitamins, Fiber","Snack"
"Turkey and Cheese Roll-Ups","3 roll-ups","200","15","2","14","0","Protein, Healthy Fats","Snack"
"Peach Slices with Cottage Cheese","1 peach + 1/2 cup","180","10","15","5","2","Protein, Vitamins","Snack"
"Cucumber Sandwiches (with Cream Cheese)","3 slices","150","5","12","10","1","Healthy Fats","Snack"
"Chia Seed Pudding","1 cup","200","6","15","10","12","Fiber, Healthy Fats","Snack"
"Pumpkin Seeds","1/4 cup","150","8","5","12","1","Protein, Healthy Fats","Snack"
"Zucchini Chips","1 serving","130","2","10","8","3","Fiber, Vitamins","Snack"
"Protein Bars (Homemade)","1 bar","200","15","20","8","5","Protein, Fiber","Snack"
"Fruit Smoothie","1 glass","180","2","40","1","5","Vitamins, Carbohydrates","Snack"
"Hard-Boiled Eggs","2 eggs","140","12","1","10","0","Protein, Healthy Fats","Snack"
"Baked Apple Slices with Cinnamon","1 apple","120","0","30","0","5","Carbohydrates, Fiber","Snack"
"Veggie Sticks with Guacamole","1 cup + 1/2 cup","150","3","20","10","5","Healthy Fats, Fiber","Snack"
"Beef Jerky","1 oz","120","11","2","7","0","Protein","Snack"
"Oatmeal Energy Bites","3 bites","150","5","20","6","4","Fiber, Protein","Snack"
"Berry Parfait with Yogurt","1 cup","180","10","25","4","5","Protein, Vitamins","Snack"
"Sunflower Seed Butter on Celery Sticks","2 tbsp + 5 sticks","180","6","8","14","2","Healthy Fats, Protein","Snack"
"Crispy Tofu Bites","1 serving","200","10","10","12","3","Protein, Healthy Fats","Snack"
"Mango Slices with Chili Powder","1 cup","100","1","25","0","3","Carbohydrates, Vitamins","Snack"
"Sliced Bell Peppers with Hummus","1 cup + 1/4 cup","150","5","15","7","5","Fiber, Protein","Snack"
"Cottage Cheese with Berries","1 cup","180","10","15","5","2","Protein, Vitamins","Snack"
"Almond Flour Crackers","5 crackers","150","6","8","12","2","Healthy Fats","Snack"
"Fruit Salad","1 cup","120","1","30","0","4","Vitamins, Carbohydrates","Snack"
"Baked Plantain Chips","1 serving","150","2","30","5","3","Carbohydrates, Fiber","Snack"
"Avocado and Tomato Salsa with Corn Chips","1/2 cup + 1 serving","200","4","20","10","5","Healthy Fats, Fiber","Snack"
"Roasted Seaweed Snacks","1 package","50","2","5","4","1","Vitamins, Healthy Fats","Snack"
"Quinoa Salad Cups","1 cup","180","8","25","5","4","Protein, Fiber","Snack"
"Green Smoothie with Spinach and Fruit","1 glass","150","3","30","2","5","Vitamins, Carbohydrates","Snack"
"Stuffed Bell Peppers with Quinoa","1 pepper","200","8","30","5","6","Protein, Fiber","Snack"
"Cheese and Whole Wheat Crackers","5 crackers","200","8","20","10","2","Protein, Healthy Fats","Snack"
"Apple and Cheese Slices","1 apple + 1 oz","180","8","20","10","2","Protein, Vitamins","Snack"
"Sweet Potato Fries","1 serving","150","2","30","5","4","Carbohydrates, Fiber","Snack"
"Mixed Berry Compote","1/2 cup","100","1","20","0","4","Vitamins, Carbohydrates","Snack"
"Nut Mix with Dried Fruit","1/4 cup","200","5","20","15","3","Protein, Fiber","Snack"
"Mini Veggie Wraps","2 wraps","150","6","20","7","4","Fiber, Vitamins","Snack"
"Fruit Kabobs","5 pieces","120","1","30","0","5","Vitamins, Carbohydrates","Snack"
"Edamame with Lime and Chili","1 cup","120","11","10","5","8","Protein, Fiber","Snack"
"Chia and Berry Jam","1/4 cup","100","2","20","2","6","Fiber, Vitamins","Snack"
"Avocado and Tuna Salad","1 cup","200","15","5","10","5","Protein, Healthy Fats","Snack"
"Homemade Trail Mix","1/4 cup","200","5","15","15","4","Protein, Healthy Fats","Snack"
"Cucumber and Turkey Roll-Ups","4 roll-ups","150","10","2","8","1","Protein, Healthy Fats","Snack"
"Almond Butter and Banana Slices","1 banana + 2 tbsp","180","6","25","14","4","Protein, Healthy Fats","Snack"
"Ricotta Cheese with Honey and Nuts","1/2 cup","200","10","15","8","2","Protein, Healthy Fats","Snack"
"Sweet Potato and Black Bean Taquitos","2 taquitos","200","6","30","7","5","Fiber, Protein","Snack"
"Stuffed Mini Bell Peppers","4 peppers","180","8","20","6","4","Protein, Fiber","Snack"
"Greek Yogurt Smoothie","1 glass","180","10","25","4","5","Protein, Vitamins","Snack"
"Pear and Almond Slices","1 pear + 2 tbsp","150","4","25","10","3","Healthy Fats, Fiber","Snack"
"Carrot and Celery Sticks with Yogurt Dip","1 cup + 1/4 cup","150","4","15","6","5","Protein, Fiber","Snack"
"Cheese-Stuffed Mushrooms","4 mushrooms","200","10","5","15","2","Protein, Healthy Fats","Snack"
"Coconut Energy Balls","3 balls","150","3","20","8","4","Healthy Fats, Fiber","Snack"
"Spicy Roasted Chickpeas","1 cup","180","6","30","2","6","Protein, Fiber","Snack"
"Berry and Yogurt Smoothie Bowl","1 bowl","200","12","25","5","7","Protein, Vitamins","Snack"
"Mini Quinoa Patties","3 patties","180","8","20","7","5","Protein, Fiber","Snack"
"Apple and Walnut Salad","1 cup","150","4","20","8","4","Fiber, Healthy Fats","Snack"
"Spinach and Feta Cheese Muffins","2 muffins","200","10","15","12","3","Protein, Healthy Fats","Snack"
"Turkey Meatballs","4 meatballs","200","18","4","10","0","Protein","Snack"
"Strawberry and Spinach Salad","1 cup","150","3","20","5","3","Vitamins, Fiber","Snack"
