Serial No,Exercise Name,Muscle Group,Intensity Level,Suitable for BMI Case,Suitable for BFP Case,Reps,Sets,Duration (minutes),Rest (seconds),Gifs,instructions
1,Bench Press,Chest,High,"Fitness, Acceptable, Obese, Athletes","Normal, Mild Thinness, Overweight",10,4,45,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Barbell-Bench-Press.gif,"1. Setup: Lie flat on a bench with your feet firmly on the ground. Grip the barbell slightly wider than shoulder-width, keeping your wrists straight and elbows at a 90-degree angle.

2. Lowering the Bar: Slowly lower the bar to your mid-chest, keeping your elbows at about a 45-degree angle to your body. Maintain control and avoid bouncing the bar.

3. Pressing Up: Push the barbell back up in a straight line by extending your arms, fully engaging your chest and triceps. Lock your elbows at the top to complete the rep.
"
2,Squats,Legs,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",12,4,50,120,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Squat.gif,"1.Stand with feet shoulder-width apart, toes slightly pointed out, and hold the dumbbell across your shoulders.
2.Lower your hips down and back, keeping your chest up and knees in line with your toes.
3.Push through your heels to return to a standing position."
3,Deadlift,Back,High,"Fitness, Athletes, Obese, Acceptable","Normal, Overweight, Severe Thinness",8,3,40,180,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Barbell-Deadlift.gif,"1.Stand with feet hip-width apart, barbell over mid-foot, and grip the bar with both hands.
2.Hinge at your hips, bend your knees, and lift the bar by extending your hips and knees.
3.Lower the bar back to the ground by hinging at your hips and keeping your back straight."
4,Overhead Press,Shoulders,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Mild Thinness",12,4,30,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Standing-Dumbbell-Overhead-Press.gif,"1.Stand with feet shoulder-width apart and grip the barbell at shoulder height with palms facing forward.
2.Press the barbell overhead, fully extending your arms.
3.Lower the barbell back to shoulder height in a controlled manner."
5,Barbell Row,Back,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",10,3,35,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Barbell-Bent-Over-Row.gif,"1 .Stand with feet shoulder-width apart, holding a barbell with a pronated grip.
2.Bend your knees slightly and hinge at the hips, bringing your torso near parallel to the ground.
3.Pull the barbell to your lower chest while keeping your elbows close to your body, then lower it back down."
6,Bicep Curls,Biceps,Low,"Fitness, Athletes, Obese, Acceptable","Severe Thinness, Mild Thinness, Normal",15,3,20,60,https://github.com/silence-killer45/gifs/blob/main/Dumbbell-Curl.gif?raw=true,"1.Stand with feet hip-width apart and hold dumbbells in each hand, palms facing forward.
2.Curl the dumbbells up toward your shoulders, keeping your elbows close to your sides.
3.Lower the weights back down slowly to the starting position."
7,Tricep Dips,Triceps,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,25,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Triceps-Dips.gif,"1.Position your hands shoulder-width apart on a bench or dip bar, legs extended forward.
2.Lower your body by bending your elbows, keeping them close to your sides.
3.Push yourself back up to the starting position, fully extending your arms.
"
8,Lunges,Legs,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",12,4,40,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/bodyweight-lunges.gif,"1.Stand with feet hip-width apart, holding dumbbells at your sides.
2.Step forward with one leg and lower your body until both knees are at 90 degrees.
3.Push through your front heel to return to the starting position and repeat on the other leg."
9,Leg Press,Legs,High,"Fitness, Obese, Athletes, Acceptable","Obese, Severe Obese, Normal",10,4,45,120,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Leg-Press.gif,"1.Sit on the leg press machine with feet shoulder-width apart on the platform.
2.Push the platform away by extending your legs without locking your knees.
3.Slowly lower the platform back until your knees are at 90 degrees."
10,Running,Cardio,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,30,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Run.gif,"Start with a light jog to warm up.
Increase your pace to a comfortable running speed, maintaining good posture.
Focus on steady breathing and rhythmic steps throughout the run."
11,Cycling,Cardio,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,40,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/cycling.gif,"1.Adjust the seat height of the bike so your legs are slightly bent at the bottom of the pedal stroke.
2.Begin pedaling at a moderate pace, gradually increasing resistance.
3.Maintain a steady rhythm while keeping your back straight and core engaged."
12,Jump Rope,Cardio,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,15,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Jump-Rope.gif,"1.Hold the handles of the jump rope with your hands slightly above waist level.
2.Jump a few inches off the ground as the rope passes beneath your feet.
3Keep a steady rhythm, using your wrists to spin the rope and avoiding large jumps.."
13,Push-Ups,Chest,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Obese",15,4,30,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Push-Up.gif,"1.Get into a high plank position with your hands shoulder-width apart.
2.Lower your body until your chest is just above the ground.
3.Push through your palms to return to the starting position, keeping your core tight."
14,Pull-Ups,Back,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",10,4,40,120,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Pull-up.gif,"1.Grip the pull-up bar with hands shoulder-width apart and palms facing away.
2.Pull yourself up until your chin is above the bar.
3.Lower yourself down in a controlled manner to the starting position."
15,Plank,Core,Low,"Fitness, Acceptable, Obese, Athletes","Severe Thinness, Normal, Overweight",0,3,3,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/plank.gif,"1.Start in a forearm plank position with elbows under shoulders and body in a straight line.
2.Keep your core engaged and avoid letting your hips drop or rise.
3.Hold this position for the desired amount of time."
16,Mountain Climbers,Core,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,10,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Mountain-climber.gif,"1.Start in a high plank position with hands under shoulders.
2.Drive one knee toward your chest while keeping the other leg extended.
3.Alternate legs quickly, as if running in place while maintaining plank form."
17,Rowing Machine,Cardio,Medium,"Fitness, Obese, Athletes, Acceptable","Normal, Severe Obese, Overweight",0,0,20,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Rowing-Machine.gif,"1.Sit on the rowing machine with feet strapped in and grab the handle with both hands.
2.Push through your legs while pulling the handle toward your chest, leaning back slightly.
3.Return to the starting position by reversing the motion, extending arms first, then legs."
18,Kettlebell Swings,Full Body,High,"Fitness, Athletes, Obese, Acceptable","Mild Thinness, Severe Thinness, Overweight",12,4,30,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Kettlebell-Swings.gif,"1.Stand with feet shoulder-width apart, holding the kettlebell with both hands in front of you.
2.Hinge at your hips and swing the kettlebell back between your legs.
3.Drive your hips forward to swing the kettlebell up to chest height, then let it swing back down."
19,Step-Ups,Legs,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",15,4,30,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Lateral-Step-up.gif,"1.Stand in front of a bench or step and hold dumbbells at your sides.
2.Step up with one foot, driving through your heel to lift your body onto the bench.
3.Step back down with the same foot and repeat on the other side."
20,Battle Ropes,Cardio,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,20,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Battle-Rope.gif,"1.Stand with feet shoulder-width apart, knees slightly bent, and hold a battle rope in each hand.
2.Rapidly alternate swinging the ropes up and down using your arms.
3.Keep a steady pace and maintain core engagement throughout."
21,Leg Curl,Legs,Medium,"Fitness, Obese, Acceptable, Athletes","Overweight, Obese, Severe Obese",12,4,35,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Leg-Curl.gif,"1.Sit on the leg curl machine and position your legs under the padded bar, feet pointing forward.
2.Curl your legs by bending your knees and bringing your heels toward your glutes.
3.Slowly return to the starting position by extending your legs fully."
22,Leg Extension,Legs,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Mild Thinness, Overweight",12,4,30,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/LEG-EXTENSION.gif,"1.Sit on the leg extension machine with your shins under the padded bar.
2.Extend your legs by straightening your knees while keeping your back flat against the seat.
3.Lower the weight back to the starting position in a controlled manner."
23,Shoulder Press,Shoulders,Medium,"Fitness, Obese, Athletes, Acceptable","Normal, Overweight, Severe Obese",10,3,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Lever-Shoulder-Press.gif,"1.Sit or stand with dumbbells or a barbell or  lever machine at shoulder height, palms facing forward.
2.Press the weights overhead until your arms are fully extended.
3.Lower the weights back down to shoulder height in a controlled motion."
24,Triceps Kickback,Triceps,Low,"Fitness, Acceptable, Obese, Athletes","Severe Thinness, Mild Thinness, Overweight",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Kickback.gif,"1.Hold a dumbbell in one hand, bend at the hips, and keep your back flat.
2.Extend your arm straight back by contracting your triceps, keeping your upper arm still.
3.Lower the weight back to the starting position and repeat."
25,Upright Row,Shoulders,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",12,4,25,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/upright.gif,"1.Stand with feet shoulder-width apart, holding a barbell or dumbbells in front of your thighs.
2.Pull the weight straight up toward your chin, keeping your elbows higher than your wrists.
3.Lower the weight back to the starting position slowly."
26,Chest Flyes,Chest,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Mild Thinness, Overweight",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Incline-Chest-Fly-Machine.gif,"1.Lie on a flat bench with dumbbells in both hands, palms facing each other.
2.With a slight bend in your elbows, open your arms wide, lowering the dumbbells to the sides.
3.Bring the dumbbells back together at the top, squeezing your chest muscles."
27,Hammer Curls,Biceps,Medium,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",12,3,25,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Hammer-Curl.gif,"1.Stand with feet hip-width apart, holding dumbbells at your sides with palms facing your torso.
2.Curl the dumbbells up toward your shoulders while keeping your palms facing inward.
3.Lower the dumbbells back to the starting position."
28,Triceps Overhead Press,Triceps,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Cable-Rope-Overhead-Triceps-Extension.gif,"1.Hold a dumbbell or barbell or rope with both hands and lift it above your head, elbows pointing forward.
2.Lower the weight behind your head by bending your elbows.
3.Press the weight back up by extending your arms."
29,Bulgarian Split Squats,Legs,High,"Fitness, Acceptable, Obese, Athletes","Normal, Mild Thinness, Overweight",10,3,35,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Barbell-Bulgarian-Split-Squat.gif,"1.stand in front of a bench and place one foot behind you on the bench.
2.Lower your body by bending the front knee while keeping your torso upright.
3.Push through the front heel to return to the starting position."
30,Lat Pulldown,Back,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Lat-Pulldown.gif,"1.Sit at the lat pulldown machine and grasp the bar with a wide grip.
2.Pull the bar down toward your chest, keeping your elbows pointed down and back.
3.Slowly return the bar to the starting position, extending your arms fully."
31,Dumbbell Shoulder Press,Shoulders,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Severe Obese",10,3,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Shoulder-Press.gif,"1.Hold dumbbells at shoulder height with palms facing forward.
2.Press the dumbbells overhead until your arms are fully extended.
3.Lower the dumbbells back down to shoulder height."
32,Seated Row,Back,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Seated-Row-Machine.gif,"1.Sit at a seated row machine with feet on the platform and grab the handles.
2.Pull the handles toward your torso, keeping your back straight and elbows close to your body.
3.Slowly extend your arms back to the starting position."
33,Incline Bench Press,Chest,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Incline-Dumbbell-Press.gif,"1.Set the bench at an incline and lie back, gripping the barbell slightly wider than shoulder-width.
2.Lower the barbell to your upper chest, keeping your elbows at a 45-degree angle.
3.Press the barbell back up to the starting position."
34,Face Pulls,Shoulders,Low,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Face-Pull.gif,"1.Attach a rope to a cable machine at face height and grab the ends of the rope.
2.Pull the rope toward your face, flaring your elbows out to the sides.
3.Slowly extend your arms back to the starting position."
35,Side Lateral Raise,Shoulders,Low,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Alternate-Dumbbell-Lateral-Raise.gif,"1.Stand with feet hip-width apart, holding dumbbells at your sides.
2.Lift the dumbbells out to the sides until your arms are parallel to the floor.
3.Lower the dumbbells back to your sides in a controlled motion."
36,Sumo Deadlift,Legs,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",10,4,45,120,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Barbell-sumo-squat.gif,"1.Stand with feet wider than shoulder-width apart, toes pointed out, and grip the barbell inside your legs.
2.Hinge at your hips and lift the barbell by extending your knees and hips.
3.Lower the barbell back to the ground by bending your hips and knees."
37,Dumbbell Curl,Biceps,Low,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Curl.gif,"1.Stand with feet hip-width apart, holding dumbbells with palms facing forward.Curl the dumbbells toward your shoulders, keeping your elbows close to your sides.2.
Lower the dumbbells back down slowly to the starting position."
38,Skull Crushers,Triceps,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Skull-Crusher.gif,"1.Lie on a bench with a barbell or dumbbells held above your chest.
2.Lower the weight toward your forehead by bending your elbows.
3.Extend your arms to return to the starting position."
39,Single-Leg Deadlift,Legs,High,"Fitness, Obese, Acceptable, Athletes","Normal, Mild Thinness, Overweight",10,3,35,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Kettlebell-Single-Leg-Deadlift.gif,"1.stand on one leg with a slight bend in the knee and hold a dumbbell in each hand.
2.Hinge at your hips and lower the dumbbells toward the ground while extending your free leg behind you.
3.Return to the starting position by contracting your glutes and standing upright."
40,Bent-Over Row,Back,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",12,4,30,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Bent-Over-Dumbbell-Row.gif,"1.Stand with feet shoulder-width apart, holding a barbell or dumbbells, knees slightly bent.
2.Bend forward at the waist, keeping your back straight and arms hanging down.
3.Pull the weights toward your chest, squeezing your shoulder blades together, then lower them back down."
41,Dumbbell Lunges,Legs,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",12,4,40,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Lunge.gif,"1.Stand tall holding dumbbells by your sides, feet together.
2.Step forward with one leg, lowering your body until both knees are bent at 90-degree angles.
3.Push off the front foot to return to the starting position, then repeat on the other leg."
42,Front Raise,Shoulders,Low,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Alternating-Dumbbell-Front-Raise.gif,"1.Stand tall with feet shoulder-width apart, holding dumbbells in front of your thighs.
2.Keeping your arms straight, lift the dumbbells in front of you until they are at shoulder height.
3.Slowly lower them back down to the starting position."
43,Leg Raises,Core,Low,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Lying-Leg-Raise.gif,"1.Lie flat on your back with your legs straight and hands under your hips for support.
2.Lift both legs up until they form a 90-degree angle with your body.
3.Slowly lower your legs back down without touching the floor and repeat."
44,Farmer's Walk,Full Body,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,10,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Farmers-walk_Cardio.gif,"1.Stand upright holding a dumbbell or kettlebell in each hand by your sides.
2.Walk forward in a straight line, keeping your posture upright and core engaged.
3.Walk for a set distance or time, then rest and repeat."
45,Cable Flyes,Chest,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Lying-Cable-Fly.gif,"1.lie on bench between two cable machines with the pulleys at shoulder height, holding a handle in each hand.
2.Step forward slightly and extend your arms out to your sides with a slight bend in the elbows.
3.Bring the handles together in front of your chest, squeeze, then slowly return to the starting position."
46,Dumbbell Shrugs,Shoulders,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Severe Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Shrug.gif,"1.Stand tall with feet shoulder-width apart, holding dumbbells by your sides.
2.Lift your shoulders straight up towards your ears, squeezing at the top.
3.Lower your shoulders back down to the starting position."
47,Box Jumps,Legs,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,15,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/The-Box-Jump.gif,"1.Stand in front of a sturdy box or platform with feet shoulder-width apart.
2.Bend your knees slightly and jump explosively onto the box, landing with both feet flat.
3.Step back down carefully and repeat."
48,Treadmill Sprints,Cardio,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,20,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/TREADMIL.gif,"1.Set the treadmill to a challenging speed for sprinting.
2.sprint at full speed for 20-30 seconds, maintaining proper running form.
Rest for 30-60 seconds, then repeat for the desired number of intervals."
49,Medicine Ball Slams,Full Body,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,10,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Medicine-ball-Overhead-Slam-exercise.gif,"1.Stand with feet shoulder-width apart, holding a medicine ball with both hands.
2.Raise the ball overhead, fully extending your body.
3.Slam the ball down forcefully onto the ground, bending your knees slightly as you follow through."
